Zipcode,City,State,Lat,Long,Population
60629,CHICAGO,IL,41.83,-87.68,113916
79936,EL PASO,TX,31.84,-106.43,111086
11368,CORONA,NY,40.74,-73.85,109931
90650,NORWALK,CA,33.9,-118.07,105549
90011,LOS ANGELES,CA,34,-118.25,103892
91331,PACOIMA,CA,34.25,-118.41,103689
11226,BROOKLYN,NY,40.64,-73.94,101572
90201,BELL GARDENS,CA,33.97,-118.15,101279
11373,ELMHURST,NY,40.72,-73.87,100820
11220,BROOKLYN,NY,40.64,-73.94,99598
11385,RIDGEWOOD,NY,40.7,-73.89,98592
10467,BRONX,NY,40.84,-73.87,97060
92335,FONTANA,CA,34.08,-117.46,95397
77084,HOUSTON,TX,29.76,-95.38,95137
10025,NEW YORK,NY,40.71,-73.99,94600
11208,BROOKLYN,NY,40.64,-73.94,94469
90280,SOUTH GATE,CA,33.94,-118.2,94396
77449,KATY,TX,29.79,-95.82,94382
11236,BROOKLYN,NY,40.64,-73.94,93877
78521,BROWNSVILLE,TX,25.92,-97.48,93818
90805,LONG BEACH,CA,33.86,-118.18,93524
11207,BROOKLYN,NY,40.64,-73.94,93386
90250,HAWTHORNE,CA,33.91,-118.34,93193
8701,LAKEWOOD,NJ,40.09,-74.21,92843
11219,BROOKLYN,NY,40.64,-73.94,92221
60623,CHICAGO,IL,41.83,-87.68,92108
60618,CHICAGO,IL,41.83,-87.68,92084
91342,SYLMAR,CA,34.32,-118.38,91725
60632,CHICAGO,IL,41.83,-87.68,91326
60639,CHICAGO,IL,41.83,-87.68,90407
11211,BROOKLYN,NY,40.64,-73.94,90117
11377,WOODSIDE,NY,40.74,-73.9,89830
90044,LOS ANGELES,CA,33.95,-118.29,89779
92683,WESTMINSTER,CA,33.74,-117.99,89747
75052,GRAND PRAIRIE,TX,32.69,-97.01,88996
11214,BROOKLYN,NY,40.64,-73.94,88630
92336,FONTANA,CA,34.14,-117.45,88419
92704,SANTA ANA,CA,33.71,-117.9,88123
11234,BROOKLYN,NY,40.64,-73.94,87757
60647,CHICAGO,IL,41.83,-87.68,87291
10456,BRONX,NY,40.84,-73.87,86547
11230,BROOKLYN,NY,40.64,-73.94,86408
92804,ANAHEIM,CA,33.81,-117.97,85914
11355,FLUSHING,NY,40.77,-73.84,85871
10314,STATEN ISLAND,NY,40.58,-74.14,85510
91744,LA PUENTE,CA,34.02,-117.93,85040
94565,PITTSBURG,CA,38,-121.83,84641
60804,CICERO,IL,41.84,-87.75,84573
92503,RIVERSIDE,CA,33.89,-117.44,84519
11212,BROOKLYN,NY,40.64,-73.94,84500
60617,CHICAGO,IL,41.83,-87.68,84155
91911,CHULA VISTA,CA,32.61,-117.03,82999
60608,CHICAGO,IL,41.83,-87.68,82739
93033,OXNARD,CA,34.14,-119.1,82728
93307,BAKERSFIELD,CA,35.2,-118.86,82658
95076,WATSONVILLE,CA,36.95,-121.72,82474
11206,BROOKLYN,NY,40.64,-73.94,81677
92376,RIALTO,CA,34.1,-117.38,81516
10002,NEW YORK,NY,40.71,-73.99,81410
91710,CHINO,CA,33.98,-117.65,80358
75217,DALLAS,TX,32.79,-96.76,80324
30043,LAWRENCEVILLE,GA,33.94,-83.99,80241
11229,BROOKLYN,NY,40.64,-73.94,80018
92154,SAN DIEGO,CA,32.56,-117.01,79708
30044,LAWRENCEVILLE,GA,33.94,-83.99,79701
10458,BRONX,NY,40.84,-73.87,79492
94112,SAN FRANCISCO,CA,37.72,-122.44,79407
11235,BROOKLYN,NY,40.64,-73.94,79132
11221,BROOKLYN,NY,40.64,-73.94,78895
11223,BROOKLYN,NY,40.64,-73.94,78731
92345,HESPERIA,CA,34.36,-117.32,78715
60625,CHICAGO,IL,41.83,-87.68,78651
